LocalAuthorityID,BillNumber,DateIssued,EmployeeID,ClientsName,BriefDesc,BillStatus,DatePaid,EntryBy,EntryDate,AccountNumber,DetailAmount,,,
1,PF1906-94202,2019-06-12 06:49:29.757,859,KCE523G,1-5241,1,NULL,Mobile App,2019-06-12 06:49:29.850,15241,200.00,,,
1,PF1906-94203,2019-06-12 06:52:42.063,859,KCA511K,1-5241,1,NULL,Mobile App,2019-06-12 06:52:42.140,15241,200.00,,,
1,PF1906-94204,2019-06-12 06:53:31.400,859,KCM004M,1-5241,1,NULL,Mobile App,2019-06-12 06:53:31.490,15241,200.00,,,
1,PF1906-94205,2019-06-12 06:58:59.057,859,KCU687Y,1-5241,1,NULL,Mobile App,2019-06-12 06:58:59.150,15241,200.00,,,
1,PF1906-94206,2019-06-12 07:01:39.257,859,KBU461H,1-5241,1,NULL,Mobile App,2019-06-12 07:01:39.350,15241,200.00,,,
1,PF1906-94207,2019-06-12 07:02:09.207,859,kcp516j,1-5241,1,NULL,Mobile App,2019-06-12 07:02:09.300,15241,200.00,,,
1,PF1906-94301,2019-06-13 10:38:49.920,859,KCN565B,1-5241,1,NULL,Mobile App,2019-06-13 10:38:50.013,15241,200.00,,,
1,PF1906-94302,2019-06-13 10:38:57.120,859,KCE638W,1-5241,1,NULL,Mobile App,2019-06-13 10:38:57.213,15241,200.00,,,
1,PF1906-94303,2019-06-13 10:38:58.647,859,kch628g,1-5241,1,NULL,Mobile App,2019-06-13 10:38:58.740,15241,200.00,,,
1,PF1906-94305,2019-06-13 10:39:18.533,859,KCF465X,1-5241,1,NULL,Mobile App,2019-06-13 10:39:18.627,15241,200.00,,,
1,PF1906-94306,2019-06-13 10:39:32.123,859,7,1-5241,1,NULL,Mobile App,2019-06-13 10:39:32.230,15241,200.00,,,
1,PF1906-94307,2019-06-13 10:39:46.010,859,KBS745B,1-5241,1,NULL,Mobile App,2019-06-13 10:39:46.167,15241,200.00,,,
1,PF1906-94308,2019-06-13 10:40:02.300,859,KBY997V,1-5241,1,NULL,Mobile App,2019-06-13 10:40:02.393,15241,200.00,,,
1,PF1906-94309,2019-06-13 10:40:02.657,859,KBY997V,1-5241,1,NULL,Mobile App,2019-06-13 10:40:02.737,15241,200.00,,,
1,PF1906-94310,2019-06-13 10:40:05.480,859,kbx826g,1-5241,1,NULL,Mobile App,2019-06-13 10:40:05.573,15241,200.00,,,
1,PF1906-94311,2019-06-13 10:40:07.333,859,KCP072L,1-5241,1,NULL,Mobile App,2019-06-13 10:40:07.427,15241,200.00,,,
1,PF1906-94312,2019-06-13 10:40:09.837,859,KCJ351S,1-5241,1,NULL,Mobile App,2019-06-13 10:40:09.930,15241,200.00,,,
1,PF1906-94313,2019-06-13 10:40:41.773,859,KCF354S,1-5241,1,NULL,Mobile App,2019-06-13 10:40:41.880,15241,200.00,,,
1,PF1906-94314,2019-06-13 10:40:44.867,859,KBN562K,1-5241,1,NULL,Mobile App,2019-06-13 10:40:44.960,15241,200.00,,,
1,PF1906-94315,2019-06-13 10:40:52.720,859,KBV150E,1-5241,1,NULL,Mobile App,2019-06-13 10:40:52.813,15241,200.00,,,
1,PF1906-94316,2019-06-13 10:41:01.607,859,KCF090E,1-5241,1,NULL,Mobile App,2019-06-13 10:41:01.903,15241,200.00,,,
1,PF1906-94317,2019-06-13 10:41:33.933,859,Kau210c,1-5241,1,NULL,Mobile App,2019-06-13 10:41:34.027,15241,200.00,,,
1,PF1906-94318,2019-06-13 10:41:35.413,859,kcj385w,1-5241,1,NULL,Mobile App,2019-06-13 10:41:35.507,15241,200.00,,,
1,PF1906-94319,2019-06-13 10:41:37.510,859,kcq016p,1-5241,1,NULL,Mobile App,2019-06-13 10:41:37.603,15241,200.00,,,
1,PF1906-94321,2019-06-13 10:41:46.050,859,kbt810k,1-5241,1,NULL,Mobile App,2019-06-13 10:41:46.143,15241,200.00,,,
1,PF1906-94322,2019-06-13 10:41:54.260,859,KCQ976W,1-5241,1,NULL,Mobile App,2019-06-13 10:41:54.353,15241,200.00,,,
1,PF1906-94323,2019-06-13 10:41:56.110,859,KCJ448U,1-5241,1,NULL,Mobile App,2019-06-13 10:41:56.203,15241,200.00,,,
1,PF1906-94324,2019-06-13 10:42:03.670,859,KAW229C,1-5241,1,NULL,Mobile App,2019-06-13 10:42:03.763,15241,200.00,,,
1,PF1906-94325,2019-06-13 10:42:13.383,859,KCS518W,1-5241,1,NULL,Mobile App,2019-06-13 10:42:13.477,15241,200.00,,,
1,PF1906-94326,2019-06-13 10:42:13.743,859,kcl092c,1-5241,1,NULL,Mobile App,2019-06-13 10:42:13.947,15241,200.00,,,
1,PF1906-94327,2019-06-13 10:42:27.323,859,kca352n,1-5241,1,NULL,Mobile App,2019-06-13 10:42:27.417,15241,200.00,,,
1,PF1906-94328,2019-06-13 10:42:32.500,859,kbw189f,1-5241,1,NULL,Mobile App,2019-06-13 10:42:32.597,15241,200.00,,,
1,PF1906-94329,2019-06-13 10:42:32.890,859,kbw189f,1-5241,1,NULL,Mobile App,2019-06-13 10:42:32.987,15241,200.00,,,
1,PF1906-94330,2019-06-13 10:43:15.260,859,KCH749C,1-5241,2,2019-06-13 10:43:16.510,Mobile App,2019-06-13 10:43:15.650,15241,200.00,,,
1,PF1906-94331,2019-06-13 10:43:16.573,859,KCH749C,1-5241,2,2019-06-13 10:43:17.430,Mobile App,2019-06-13 10:43:16.790,15241,200.00,,,
1,PF1906-94332,2019-06-13 10:43:17.990,859,kad473m,1-5241,2,2019-06-13 10:43:18.390,Mobile App,2019-06-13 10:43:18.187,15241,200.00,,,
1,PF1906-94333,2019-06-13 10:43:25.607,859,KCB009M,1-5241,2,2019-06-13 10:43:25.747,Mobile App,2019-06-13 10:43:25.700,15241,200.00,,,
1,PF1906-94334,2019-06-13 10:43:29.517,859,KCN408N,1-5241,2,2019-06-13 10:43:29.657,Mobile App,2019-06-13 10:43:29.627,15241,200.00,,,
1,PF1906-94335,2019-06-13 10:43:39.750,859,kby675p,1-5241,2,2019-06-13 10:43:39.873,Mobile App,2019-06-13 10:43:39.843,15241,200.00,,,
1,PF1906-94336,2019-06-13 10:43:44.920,859,KAX841V,1-5241,2,2019-06-13 10:43:45.060,Mobile App,2019-06-13 10:43:45.013,15241,200.00,,,
1,PF1906-94337,2019-06-13 10:43:52.193,859,KBY861N,1-5241,2,2019-06-13 10:43:52.347,Mobile App,2019-06-13 10:43:52.270,15241,200.00,,,
1,PF1906-94339,2019-06-13 10:44:19.587,859,KCB790N,1-5241,2,2019-06-13 10:44:19.713,Mobile App,2019-06-13 10:44:19.680,15241,200.00,,,
1,PF1906-94340,2019-06-13 10:44:23.177,859,KCQ614Z,1-5241,2,2019-06-13 10:44:23.347,Mobile App,2019-06-13 10:44:23.270,15241,200.00,,,
1,PF1906-94341,2019-06-13 10:44:25.947,859,KAV349P,1-5241,2,2019-06-13 10:44:26.073,Mobile App,2019-06-13 10:44:26.027,15241,200.00,,,
1,PF1906-94342,2019-06-13 10:44:28.023,859,KCL778Y,1-5241,2,2019-06-13 10:44:28.150,Mobile App,2019-06-13 10:44:28.117,15241,200.00,,,
1,PF1906-94343,2019-06-13 10:44:32.880,859,KBP001Z,1-5241,2,2019-06-13 10:44:33.003,Mobile App,2019-06-13 10:44:32.973,15241,200.00,,,
1,PF1906-94344,2019-06-13 10:45:11.017,859,KCK473A,1-5241,2,2019-06-13 10:45:11.140,Mobile App,2019-06-13 10:45:11.110,15241,200.00,,,
1,PF1906-94345,2019-06-13 10:45:17.773,859,KBX945M,1-5241,2,2019-06-13 10:45:18.130,Mobile App,2019-06-13 10:45:18.070,15241,200.00,,,
1,PF1906-94346,2019-06-13 10:45:29.707,859,KBF541A,1-5241,2,2019-06-13 10:45:30.143,Mobile App,2019-06-13 10:45:29.957,15241,200.00,,,
1,PF1906-94347,2019-06-13 10:45:29.707,859,KBF541A,1-5241,1,NULL,Mobile App,2019-06-13 10:45:29.987,15241,200.00,,,
1,PF1906-94348,2019-06-13 10:45:30.347,859,KBF541A,1-5241,1,NULL,Mobile App,2019-06-13 10:45:30.563,15241,200.00,,,
1,PF1906-94349,2019-06-13 10:45:30.347,859,KBF541A,1-5241,2,2019-06-13 10:45:31.140,Mobile App,2019-06-13 10:45:30.593,15241,200.00,,,
1,PF1906-94350,2019-06-13 10:45:30.860,859,KCR821A,1-5241,2,2019-06-13 10:45:31.000,Mobile App,2019-06-13 10:45:30.907,15241,200.00,,,
1,PF1906-94351,2019-06-13 10:45:32.263,859,KCP720Z,1-5241,2,2019-06-13 10:45:32.590,Mobile App,2019-06-13 10:45:32.373,15241,200.00,,,
1,PF1906-94353,2019-06-13 10:45:38.700,859,Kbk161n,1-5241,2,2019-06-13 10:45:38.843,Mobile App,2019-06-13 10:45:38.797,15241,200.00,,,
1,PF1906-94354,2019-06-13 10:45:46.697,859,KCD742Q,1-5241,2,2019-06-13 10:45:46.837,Mobile App,2019-06-13 10:45:46.807,15241,200.00,,,
1,PF1906-94355,2019-06-13 10:45:57.390,859,KCC323J,1-5241,2,2019-06-13 10:45:57.580,Mobile App,2019-06-13 10:45:57.487,15241,200.00,,,
1,PF1906-94356,2019-06-13 10:46:28.863,859,KCN243M,1-5241,2,2019-06-13 10:46:28.997,Mobile App,2019-06-13 10:46:28.967,15241,200.00,,,
1,PF1906-94357,2019-06-13 10:46:45.017,859,KCQ669Z,1-5241,2,2019-06-13 10:46:45.157,Mobile App,2019-06-13 10:46:45.110,15241,200.00,,,
1,PF1906-94358,2019-06-13 10:46:45.313,859,KCQ669Z,1-5241,2,2019-06-13 10:46:45.453,Mobile App,2019-06-13 10:46:45.420,15241,200.00,,,
1,PF1906-94360,2019-06-13 10:46:53.207,859,KBL078Q,1-5241,2,2019-06-13 10:46:53.703,Mobile App,2019-06-13 10:46:53.470,15241,200.00,,,
1,PF1906-94361,2019-06-13 10:46:53.813,859,KBL078Q,1-5241,2,2019-06-13 10:46:55.160,Mobile App,2019-06-13 10:46:54.127,15241,200.00,,,
1,PF1906-94362,2019-06-13 10:46:53.893,859,KBN377R,1-5241,2,2019-06-13 10:46:55.207,Mobile App,2019-06-13 10:46:54.220,15241,200.00,,,
1,PF1906-94363,2019-06-13 10:46:54.500,859,KBL078Q,1-5241,2,2019-06-13 10:46:55.083,Mobile App,2019-06-13 10:46:54.770,15241,200.00,,,
1,PF1906-94364,2019-06-13 10:46:55.410,859,KBN377R,1-5241,2,2019-06-13 10:46:55.930,Mobile App,2019-06-13 10:46:55.643,15241,200.00,,,
1,PF1906-94365,2019-06-13 10:46:55.410,859,KBN377R,1-5241,2,2019-06-13 10:46:56.010,Mobile App,2019-06-13 10:46:55.820,15241,200.00,,,
1,PF1906-94366,2019-06-13 10:46:56.117,859,KBD715F,1-5241,2,2019-06-13 10:46:56.773,Mobile App,2019-06-13 10:46:56.400,15241,200.00,,,
1,PF1906-94367,2019-06-13 10:47:59.260,859,KBM378T,1-5241,2,2019-06-13 10:47:59.400,Mobile App,2019-06-13 10:47:59.370,15241,200.00,,,
1,PF1906-94368,2019-06-13 10:48:11.980,859,KBT571F,1-5241,2,2019-06-13 10:48:12.120,Mobile App,2019-06-13 10:48:12.073,15241,200.00,,,
1,PF1906-94369,2019-06-13 10:48:23.643,859,KCR179D,1-5241,2,2019-06-13 10:48:23.810,Mobile App,2019-06-13 10:48:23.737,15241,200.00,,,
1,PF1906-94370,2019-06-13 10:48:24.957,859,KCG933Z,1-5241,2,2019-06-13 10:48:25.457,Mobile App,2019-06-13 10:48:25.270,15241,200.00,,,
1,PF1906-94371,2019-06-13 10:48:25.630,859,KCG933Z,1-5241,2,2019-06-13 10:48:26.500,Mobile App,2019-06-13 10:48:25.893,15241,200.00,,,
1,PF1906-94372,2019-06-13 10:48:30.990,859,kbm355j,1-5241,2,2019-06-13 10:48:31.130,Mobile App,2019-06-13 10:48:31.083,15241,12800.00,,,
1,PF1906-94373,2019-06-13 10:49:16.533,859,KBR609K,1-5241,2,2019-06-13 10:49:16.987,Mobile App,2019-06-13 10:49:16.847,15241,200.00,,,
1,PF1906-94374,2019-06-13 10:49:32.767,859,KCS210E,1-5241,2,2019-06-13 10:49:34.020,Mobile App,2019-06-13 10:49:32.970,15241,200.00,,,
1,PF1906-94375,2019-06-13 10:49:33.803,859,KCS210E,1-5241,2,2019-06-13 10:49:34.177,Mobile App,2019-06-13 10:49:34.037,15241,200.00,,,
1,PF1906-94376,2019-06-13 10:49:33.973,859,KCS210E,1-5241,2,2019-06-13 10:49:34.270,Mobile App,2019-06-13 10:49:34.210,15241,200.00,,,
1,PF1906-94377,2019-06-13 10:50:33.757,859,KCB553C,1-5241,2,2019-06-13 10:50:33.880,Mobile App,2019-06-13 10:50:33.850,15241,200.00,,,
